Sr.No,Symbol,Segment,Quantity Traded,Deliverable Quantity,% of Deliverable Quantity
1020,NHPC,N6,214,212,99.07
1021,NIACL,EQ,154140,62128,40.31
1022,NIFTYBEES,EQ,1872398,570234,30.45
1023,NIITLTD,EQ,492470,144335,29.31
1024,NIITTECH,EQ,2494242,119366,4.79
1025,NILAINFRA,EQ,121767,100143,82.24
1026,NILASPACES,EQ,22410,16898,75.40
1027,NILKAMAL,EQ,5218,3208,61.48
1028,NIPPOBATRY,EQ,1087,891,81.97
1029,NITCO,EQ,26028,14189,54.51
1030,NITINSPIN,EQ,21170,18152,85.74
1031,NKIND,EQ,489,489,100.00
1032,NLCINDIA,EQ,493547,335786,68.04
1033,NMDC,EQ,4624426,1546755,33.45
1034,NOCIL,EQ,7270159,1534108,21.10
1035,NOIDATOLL,EQ,124193,92604,74.56
1036,NPBET,EQ,147,147,100.00
1037,NRAIL,EQ,3283,2375,72.34
1038,NRBBEARING,EQ,42697,25480,59.68
1039,NSIL,EQ,82,10,12.20
1040,NTPC,EQ,9392105,2738082,29.15
1041,NTPC,N2,8,4,50.00
1042,NTPC,N6,350,250,71.43
1043,NTPC,N7,18081,17834,98.63
1044,NTPC,NB,50,50,100.00
1045,NUCLEUS,EQ,33658,19627,58.31
1046,NXTDIGITAL,EQ,2444,1849,75.65
1047,OAL,EQ,1833,1153,62.90
1048,OBEROIRLTY,EQ,263809,139079,52.72
1049,OCCL,EQ,8730,3650,41.81
1050,OFSS,EQ,22986,15301,66.57
1051,OIL,EQ,1460870,423890,29.02
1052,OLECTRA,EQ,40945,26551,64.85
1053,OMAXAUTO,EQ,5659,4397,77.70
1054,OMAXE,EQ,272189,223936,82.27
1055,OMMETALS,EQ,20388,18012,88.35
1056,ONELIFECAP,EQ,299,299,100.00
1057,ONEPOINT,EQ,6241,3680,58.96
1058,ONGC,EQ,12443833,2797117,22.48
1059,ONMOBILE,EQ,71171,55988,78.67
1060,ONWARDTEC,EQ,9127,4694,51.43
1061,ORBTEXP,EQ,6212,3472,55.89
1062,ORICONENT,EQ,23563,11270,47.83
1063,ORIENTABRA,EQ,9219,7960,86.34
1064,ORIENTALTL,EQ,2042,1992,97.55
1065,ORIENTBELL,EQ,4815,3937,81.77
1066,ORIENTCEM,EQ,504431,217390,43.10
1067,ORIENTELEC,EQ,302249,144178,47.70
1068,ORIENTHOT,EQ,33155,21613,65.19
1069,ORIENTLTD,EQ,133,78,58.65
1070,ORIENTPPR,EQ,167694,96223,57.38
1071,ORIENTREF,EQ,16273,7871,48.37
1072,ORISSAMINE,EQ,3763,2221,59.02
1073,OSWALAGRO,EQ,19135,12784,66.81
