Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume,VWAP
2020-01-15,TCS,2213.0,2231.0,2194.2,2226.9,2620681,1513859,2212.65
2020-01-16,TCS,2226.95,2249.0,2215.0,2238.8,3117214,1736185,2235.81
2020-01-17,TCS,2240.75,2253.55,2213.0,2219.1,3281059,1603410,2232.37
2020-01-20,TCS,2194.9,2242.2,2156.2,2170.35,5817599,2321286,2182.48
2020-01-21,TCS,2169.95,2186.55,2158.05,2171.05,1902980,865491,2170.95
2020-01-22,TCS,2181.0,2210.0,2173.7,2206.9,1773686,782190,2198.89
2020-01-23,TCS,2209.8,2217.75,2183.7,2190.95,2069866,1214278,2200.81
2020-01-24,TCS,2190.95,2190.95,2170.0,2183.4,1319430,607438,2179.72
2020-01-27,TCS,2189.7,2193.45,2165.0,2169.25,1549101,771303,2172.99
2020-01-28,TCS,2174.0,2187.8,2152.0,2183.75,1743024,906541,2169.48
2020-01-29,TCS,2185.0,2186.95,2150.0,2154.6,2306761,1307797,2164.12
2020-01-30,TCS,2160.0,2165.0,2125.0,2137.85,2098567,1056509,2140.26
2020-01-31,TCS,2139.4,2144.35,2071.6,2079.05,3287223,2194449,2098.15
2020-02-01,TCS,2079.5,2180.7,2063.6,2164.85,3319716,1798795,2129.7
2020-02-03,TCS,2152.0,2194.7,2093.2,2102.5,4728073,2519349,2136.37
2020-02-04,TCS,2129.0,2136.7,2086.6,2107.75,3509339,1569247,2111.28
2020-02-05,TCS,2115.0,2156.7,2104.3,2146.55,2439322,1373557,2136.16
2020-02-06,TCS,2145.0,2174.2,2115.5,2128.35,2640065,1284341,2146.02
2020-02-07,TCS,2139.0,2151.0,2119.0,2136.55,2083442,1151799,2131.41
2020-02-10,TCS,2140.9,2167.0,2119.0,2161.95,2383032,1298489,2149.9
2020-02-11,TCS,2163.0,2174.8,2147.6,2153.4,1335820,606633,2157.68
2020-02-12,TCS,2151.1,2185.0,2150.0,2170.75,1620407,791500,2173.56
2020-02-13,TCS,2172.95,2197.0,2171.0,2191.95,1645948,886163,2186.71
2020-02-14,TCS,2188.0,2212.0,2171.0,2184.2,1500115,662963,2190.86
2020-02-17,TCS,2196.95,2217.0,2190.2,2203.25,1774724,868712,2204.55
2020-02-18,TCS,2199.95,2221.0,2186.05,2215.75,2486223,1511442,2208.09
2020-02-19,TCS,2215.75,2230.0,2190.5,2196.35,1760463,1061209,2209.81
2020-02-20,TCS,2204.5,2214.4,2151.25,2156.8,2317278,1447215,2189.19
2020-02-24,TCS,2156.0,2178.95,2106.7,2115.35,3092877,1871186,2152.36
2020-02-25,TCS,2115.5,2176.65,2111.0,2156.15,2674567,1382198,2148.89
2020-02-26,TCS,2154.0,2163.9,2112.95,2123.6,2686842,1586103,2137.17
2020-02-27,TCS,2119.95,2119.95,2086.2,2105.5,2349001,1244106,2101.98
2020-02-28,TCS,2068.0,2069.5,1990.0,2000.15,4298076,2304792,2026.81
2020-03-02,TCS,2035.0,2053.95,1985.7,2001.3,2667076,1243997,2035.99
2020-03-03,TCS,2020.0,2060.0,2012.0,2036.2,2757585,1397749,2033.79
2020-03-04,TCS,2056.0,2094.45,2025.0,2083.2,3237002,1497508,2059.4
2020-03-05,TCS,2085.7,2147.75,2084.05,2125.05,3937056,2287407,2121.54
2020-03-06,TCS,2098.0,2123.65,2071.6,2116.45,2595027,1250756,2097.98
2020-03-09,TCS,2075.0,2079.9,1935.0,1972.35,4940982,2739821,1989.28
2020-03-11,TCS,1933.0,1987.3,1920.0,1953.7,6796752,4563612,1959.39
2020-03-12,TCS,1904.0,1908.4,1758.35,1769.85,8728972,5822556,1815.1
2020-03-13,TCS,1687.9,1820.0,1506.05,1806.3,8029725,4008094,1736.57
2020-03-16,TCS,1755.0,1842.25,1675.85,1696.4,7844420,4974137,1760.08
2020-03-17,TCS,1730.0,1731.0,1623.15,1658.0,5713269,3892439,1687.98
